,"J_Translation, ribosomal structure and biogenesis",A_RNA processing and modification,K_Transcription,"L_Replication, recombination and repair",B_Chromatin structure and dynamics,"D_Cell cycle control, cell division, chromosome partitioning",Y_Nuclear structure,V_Defense mechanisms,T_Signal transduction mechanisms,M_Cell wall/membrane/envelope biogenesis,N_Cell motility,Z_Cytoskeleton,W_Extracellular structures,"U_Intracellular trafficking, secretion, and vesicular transport","O_Posttranslational modification, protein turnover, chaperones","X_Mobilome: prophages, transposons",C_Energy production and conversion,G_Carbohydrate transport and metabolism,E_Amino acid transport and metabolism,F_Nucleotide transport and metabolism,H_Coenzyme transport and metabolism,I_Lipid transport and metabolism,P_Inorganic ion transport and metabolism,"Q_Secondary metabolites biosynthesis, transport and catabolism",R_General function prediction only,S_Function unknown
CB_ER_080217_Refined_19_func,0.05,0.0,0.05,0.03,0.0,0.01,0.0,0.02,0.07,0.07,0.04,0.0,0.03,0.04,0.06,0.0,0.05,0.06,0.05,0.02,0.04,0.04,0.05,0.03,0.12,0.06
CB_ER_080217_Refined_20_func,0.06,0.0,0.05,0.04,0.0,0.01,0.0,0.03,0.07,0.08,0.04,0.0,0.02,0.03,0.07,0.0,0.05,0.05,0.06,0.02,0.05,0.04,0.04,0.02,0.11,0.05
CB_ER_080217_Refined_22_func,0.05,0.0,0.05,0.02,0.0,0.01,0.0,0.02,0.06,0.05,0.03,0.0,0.01,0.01,0.05,0.0,0.06,0.03,0.05,0.02,0.06,0.11,0.04,0.08,0.14,0.04
CB_ER_080217_Refined_23_func,0.07,0.0,0.05,0.03,0.0,0.01,0.0,0.02,0.07,0.09,0.04,0.0,0.03,0.04,0.07,0.0,0.04,0.05,0.05,0.02,0.05,0.04,0.06,0.02,0.1,0.05
CB_ER_080217_Refined_25_func,0.07,0.0,0.04,0.03,0.0,0.01,0.0,0.02,0.05,0.05,0.02,0.0,0.01,0.02,0.05,0.01,0.07,0.05,0.12,0.02,0.05,0.05,0.05,0.04,0.11,0.05
CB_ER_080217_Refined_30_func,0.05,0.0,0.05,0.03,0.0,0.01,0.0,0.02,0.06,0.07,0.03,0.0,0.03,0.04,0.06,0.0,0.05,0.07,0.06,0.02,0.04,0.04,0.07,0.03,0.12,0.05
CB_ER_080217_Refined_31_func,0.07,0.0,0.06,0.04,0.0,0.01,0.0,0.03,0.07,0.08,0.02,0.0,0.02,0.03,0.08,0.0,0.04,0.05,0.06,0.02,0.05,0.04,0.04,0.03,0.11,0.06
CB_ER_080217_Refined_37_func,0.06,0.0,0.06,0.04,0.0,0.01,0.0,0.03,0.06,0.07,0.01,0.0,0.0,0.02,0.07,0.0,0.05,0.05,0.08,0.03,0.04,0.06,0.05,0.03,0.12,0.07
CB_ER_080217_Refined_41_func,0.06,0.0,0.04,0.02,0.0,0.01,0.0,0.02,0.04,0.06,0.01,0.0,0.01,0.01,0.04,0.0,0.08,0.09,0.13,0.03,0.04,0.05,0.05,0.05,0.11,0.05
CB_ER_080217_Refined_42_func,0.07,0.0,0.05,0.04,0.0,0.01,0.0,0.02,0.06,0.09,0.03,0.0,0.02,0.03,0.07,0.0,0.04,0.06,0.07,0.03,0.05,0.04,0.05,0.02,0.1,0.05
CB_ER_080217_Refined_45_func,0.08,0.0,0.05,0.04,0.0,0.02,0.0,0.02,0.04,0.08,0.01,0.0,0.01,0.02,0.07,0.0,0.06,0.04,0.06,0.02,0.05,0.08,0.04,0.05,0.09,0.07
CB_ER_080217_Refined_52_func,0.09,0.0,0.05,0.04,0.0,0.01,0.0,0.02,0.04,0.06,0.0,0.0,0.0,0.01,0.07,0.0,0.07,0.05,0.08,0.03,0.06,0.08,0.04,0.04,0.11,0.06
CB_ER_080217_Refined_54_func,0.08,0.0,0.05,0.04,0.0,0.01,0.0,0.02,0.05,0.06,0.02,0.0,0.02,0.02,0.06,0.0,0.07,0.03,0.07,0.02,0.05,0.07,0.04,0.05,0.1,0.05
CB_ER_080217_Refined_55_func,0.08,0.0,0.05,0.04,0.0,0.01,0.0,0.02,0.04,0.06,0.01,0.0,0.01,0.02,0.06,0.0,0.07,0.04,0.08,0.02,0.06,0.08,0.04,0.04,0.09,0.06
CB_ER_080217_Refined_56_func,0.08,0.0,0.04,0.04,0.0,0.02,0.0,0.02,0.04,0.06,0.02,0.0,0.01,0.02,0.06,0.0,0.07,0.04,0.08,0.02,0.06,0.07,0.04,0.05,0.1,0.05
CB_ER_080217_Refined_58_func,0.07,0.0,0.05,0.04,0.0,0.01,0.0,0.02,0.05,0.07,0.01,0.0,0.01,0.03,0.06,0.0,0.06,0.04,0.07,0.02,0.05,0.08,0.05,0.04,0.09,0.07
CB_ER_080217_Refined_59_func,0.05,0.0,0.06,0.03,0.0,0.01,0.0,0.02,0.04,0.06,0.02,0.0,0.0,0.02,0.05,0.0,0.07,0.08,0.11,0.03,0.05,0.06,0.04,0.04,0.11,0.06
CB_ER_080217_Refined_63_func,0.09,0.0,0.05,0.05,0.0,0.01,0.0,0.02,0.04,0.09,0.01,0.0,0.0,0.01,0.06,0.0,0.06,0.05,0.09,0.02,0.06,0.05,0.05,0.03,0.11,0.06
CB_ER_080217_Refined_64_func,0.05,0.0,0.06,0.03,0.0,0.01,0.0,0.03,0.07,0.07,0.04,0.0,0.03,0.04,0.05,0.0,0.05,0.06,0.05,0.02,0.04,0.04,0.06,0.03,0.11,0.06
CB_ER_080217_Refined_6_func,0.06,0.0,0.05,0.05,0.0,0.01,0.0,0.02,0.06,0.08,0.03,0.0,0.02,0.03,0.07,0.01,0.04,0.07,0.05,0.03,0.05,0.04,0.05,0.03,0.11,0.05
CB_ER_080217_Refined_72_func,0.09,0.0,0.03,0.05,0.0,0.02,0.0,0.01,0.05,0.08,0.03,0.0,0.02,0.03,0.07,0.0,0.07,0.02,0.07,0.03,0.07,0.04,0.05,0.02,0.08,0.06
CB_ER_080217_Refined_82_func,0.11,0.0,0.04,0.05,0.0,0.02,0.0,0.01,0.06,0.08,0.05,0.0,0.02,0.05,0.06,0.01,0.06,0.03,0.07,0.03,0.06,0.03,0.03,0.02,0.06,0.07
CB_ER_080217_Refined_83_func,0.11,0.0,0.04,0.05,0.0,0.02,0.0,0.02,0.05,0.09,0.04,0.0,0.01,0.03,0.07,0.0,0.07,0.03,0.08,0.03,0.06,0.04,0.04,0.02,0.07,0.05
CB_ER_080217_Refined_92_func,0.05,0.0,0.06,0.03,0.0,0.01,0.0,0.03,0.07,0.07,0.02,0.0,0.02,0.03,0.06,0.0,0.06,0.05,0.06,0.02,0.04,0.03,0.06,0.03,0.12,0.07
CB_ER_080416_Refined_11_func,0.05,0.0,0.05,0.03,0.0,0.01,0.0,0.02,0.04,0.05,0.02,0.0,0.01,0.02,0.05,0.01,0.06,0.07,0.12,0.02,0.05,0.05,0.06,0.04,0.11,0.06
CB_ER_080416_Refined_20_func,0.06,0.0,0.06,0.04,0.0,0.01,0.0,0.03,0.06,0.08,0.01,0.0,0.0,0.02,0.07,0.0,0.05,0.05,0.07,0.02,0.05,0.06,0.05,0.03,0.11,0.07
CB_ER_080416_Refined_2_func,0.06,0.0,0.05,0.04,0.0,0.01,0.0,0.02,0.06,0.08,0.03,0.0,0.02,0.04,0.07,0.0,0.04,0.05,0.07,0.02,0.05,0.04,0.05,0.02,0.12,0.05
CB_ER_080416_Refined_31_func,0.08,0.0,0.06,0.04,0.0,0.01,0.0,0.02,0.04,0.07,0.02,0.0,0.01,0.02,0.06,0.0,0.07,0.05,0.09,0.02,0.06,0.07,0.05,0.04,0.09,0.05
CB_ER_080416_Refined_32_func,0.08,0.0,0.05,0.04,0.0,0.01,0.0,0.03,0.05,0.1,0.01,0.0,0.0,0.01,0.07,0.01,0.05,0.05,0.07,0.03,0.06,0.05,0.05,0.02,0.1,0.06
CB_ER_080416_Refined_34_func,0.07,0.0,0.05,0.03,0.0,0.01,0.0,0.01,0.05,0.07,0.02,0.0,0.01,0.02,0.05,0.0,0.06,0.06,0.12,0.03,0.06,0.06,0.04,0.04,0.09,0.06
CB_ER_080416_Refined_35_func,0.08,0.0,0.04,0.03,0.0,0.01,0.0,0.02,0.04,0.07,0.02,0.0,0.02,0.02,0.05,0.0,0.07,0.06,0.11,0.02,0.05,0.06,0.04,0.05,0.1,0.04
CB_ER_080416_Refined_36_func,0.08,0.0,0.05,0.04,0.0,0.02,0.0,0.02,0.04,0.07,0.01,0.0,0.01,0.02,0.07,0.0,0.06,0.05,0.06,0.02,0.06,0.08,0.04,0.05,0.09,0.07
CB_ER_080416_Refined_44_func,0.07,0.0,0.05,0.04,0.0,0.01,0.0,0.03,0.07,0.07,0.03,0.0,0.02,0.03,0.07,0.0,0.04,0.06,0.07,0.02,0.04,0.04,0.05,0.03,0.12,0.05
CB_ER_080416_Refined_48_func,0.1,0.0,0.05,0.05,0.0,0.02,0.0,0.01,0.05,0.09,0.02,0.0,0.01,0.02,0.07,0.0,0.07,0.05,0.08,0.02,0.06,0.04,0.04,0.03,0.07,0.05
CB_ER_080416_Refined_54_func,0.07,0.0,0.04,0.05,0.0,0.01,0.0,0.02,0.07,0.08,0.05,0.0,0.02,0.04,0.06,0.01,0.05,0.07,0.07,0.03,0.05,0.03,0.06,0.01,0.09,0.04
CB_ER_080416_Refined_59_func,0.05,0.0,0.04,0.04,0.0,0.01,0.0,0.03,0.06,0.09,0.03,0.0,0.02,0.03,0.07,0.0,0.05,0.06,0.06,0.03,0.06,0.04,0.04,0.04,0.1,0.05
CB_ER_080416_Refined_5_func,0.06,0.0,0.05,0.04,0.0,0.01,0.0,0.03,0.06,0.08,0.02,0.0,0.02,0.03,0.06,0.0,0.06,0.05,0.06,0.02,0.04,0.03,0.06,0.03,0.11,0.05
CB_ER_080416_Refined_63_func,0.13,0.0,0.05,0.06,0.0,0.01,0.0,0.02,0.05,0.09,0.01,0.0,0.01,0.02,0.06,0.0,0.06,0.06,0.07,0.04,0.06,0.04,0.03,0.02,0.07,0.04
CB_ER_080416_Refined_78_func,0.08,0.0,0.04,0.04,0.0,0.01,0.0,0.02,0.07,0.08,0.03,0.0,0.03,0.04,0.06,0.0,0.04,0.06,0.05,0.03,0.06,0.03,0.05,0.02,0.09,0.06
CB_ER_080416_Refined_82_func,0.08,0.0,0.05,0.03,0.0,0.01,0.0,0.02,0.04,0.06,0.01,0.0,0.01,0.02,0.06,0.01,0.06,0.04,0.07,0.02,0.06,0.09,0.05,0.06,0.1,0.06
CB_ER_080416_Refined_83_func,0.07,0.0,0.05,0.03,0.0,0.01,0.0,0.02,0.04,0.07,0.01,0.0,0.01,0.03,0.05,0.0,0.06,0.05,0.07,0.02,0.06,0.08,0.05,0.05,0.09,0.07
CB_ER_130617_Refined_11_func,0.08,0.0,0.04,0.05,0.0,0.01,0.0,0.01,0.06,0.07,0.02,0.0,0.01,0.02,0.06,0.0,0.07,0.05,0.08,0.03,0.08,0.04,0.05,0.02,0.08,0.07
CB_ER_130617_Refined_17_func,0.1,0.0,0.04,0.04,0.0,0.01,0.0,0.01,0.06,0.07,0.02,0.0,0.02,0.02,0.07,0.0,0.06,0.03,0.06,0.03,0.06,0.04,0.07,0.02,0.08,0.06
CB_ER_130617_Refined_33_func,0.08,0.0,0.05,0.05,0.0,0.01,0.0,0.01,0.04,0.09,0.02,0.0,0.01,0.03,0.07,0.01,0.04,0.07,0.08,0.02,0.06,0.03,0.05,0.02,0.1,0.06
CB_ER_130617_Refined_34_func,0.08,0.0,0.05,0.04,0.0,0.02,0.0,0.02,0.04,0.07,0.01,0.0,0.0,0.01,0.06,0.0,0.05,0.05,0.08,0.03,0.06,0.07,0.04,0.05,0.08,0.07
CB_ER_130617_Refined_37_func,0.09,0.0,0.05,0.05,0.0,0.01,0.0,0.02,0.04,0.08,0.01,0.0,0.01,0.02,0.05,0.0,0.06,0.06,0.08,0.03,0.06,0.04,0.07,0.02,0.1,0.05
CB_ER_130617_Refined_38_func,0.09,0.0,0.05,0.06,0.0,0.01,0.0,0.02,0.04,0.08,0.01,0.0,0.01,0.03,0.06,0.01,0.05,0.05,0.07,0.02,0.06,0.04,0.07,0.02,0.1,0.05
CB_ER_130617_Refined_9_func,0.11,0.0,0.04,0.05,0.0,0.01,0.0,0.02,0.03,0.09,0.02,0.0,0.01,0.02,0.06,0.0,0.06,0.05,0.08,0.03,0.06,0.04,0.07,0.02,0.08,0.05
CB_ER_141216_Refined_14_func,0.07,0.0,0.04,0.03,0.0,0.01,0.0,0.02,0.07,0.08,0.04,0.0,0.03,0.04,0.08,0.0,0.04,0.05,0.06,0.02,0.05,0.04,0.04,0.02,0.11,0.05
CB_ER_141216_Refined_16_func,0.07,0.0,0.04,0.04,0.0,0.01,0.0,0.03,0.06,0.08,0.03,0.0,0.02,0.03,0.07,0.0,0.05,0.06,0.06,0.03,0.05,0.05,0.05,0.03,0.1,0.05
CB_ER_141216_Refined_7_func,0.12,0.0,0.03,0.06,0.0,0.02,0.0,0.02,0.03,0.07,0.01,0.0,0.0,0.02,0.06,0.0,0.07,0.04,0.08,0.04,0.07,0.07,0.04,0.04,0.06,0.05
HGT_recipient_genes_func,0.1,0.0,0.03,0.02,0.0,0.0,0.0,0.02,0.03,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.1,0.07,0.12,0.03,0.06,0.07,0.07,0.06,0.11,0.03
