Group,Genome,K00002,K00003,K00005,K00007,K00008,K00009,K00010,K00013,K00014,K00015,K00016,K00018,K00019,K00020,K00021,K00023,K00024,K00027,K00029,K00030,K00031,K00032,K00033,K00035,K00057,K00065,K00091,K00097,K00128,K00208,K00228,K00231,K00287,K00311,K00320,K00341,K00383,K00392,K00411,K00413,K00432,K00457,K00459,K00477,K00483,K00537,K00558,K00560,K00568,K00571
sponge,COS36386_bin_10,5.263,5.263,0,0,5.263,0,0,5.263,0,0,0,5.263,0,5.263,0,0,5.263,0,0,0,5.263,0,5.263,0,0,0,0,0,10.526,10.526,0,5.263,5.263,0,0,0,0,0,0,0,0,5.263,0,0,0,0,0,5.263,0,10.526
sponge,IRC_PAM_SB0665_bin_12,0,1.961,0,0,3.922,0,1.961,1.961,1.961,1.961,0,0,0,0,0,0,1.961,0,1.961,0,1.961,1.961,1.961,0,0,1.961,1.961,1.961,3.922,1.961,0,1.961,0,0,3.922,3.922,0,1.961,0,0,0,0,0,0,0,0,1.961,0,0,50.98
sponge,COS4_bin_34,0,3.448,0,0,0,0,0,3.448,3.448,0,0,0,0,0,0,0,6.897,0,0,0,3.448,0,0,0,3.448,17.241,0,0,6.897,3.448,0,3.448,0,0,17.241,6.897,0,0,0,0,0,0,0,0,0,3.448,3.448,0,0,13.793
sponge,GCF_900143615,0,2.083,0,0,2.083,0,2.083,2.083,4.167,4.167,2.083,0,2.083,12.5,0,2.083,2.083,0,4.167,0,4.167,0,0,0,2.083,4.167,0,2.083,12.5,4.167,2.083,0,2.083,2.083,0,2.083,2.083,0,2.083,2.083,0,4.167,4.167,0,0,2.083,0,2.083,2.083,0
sponge,COS4_bin_20,0,8.333,0,0,0,0,0,8.333,0,0,0,0,0,0,0,0,16.667,0,0,0,8.333,0,0,0,8.333,0,0,0,0,8.333,0,8.333,0,8.333,0,8.333,0,8.333,0,0,0,0,0,0,0,0,8.333,0,0,0
sponge,IRC1_bin_12,0,2.222,0,0,11.111,0,2.222,2.222,2.222,2.222,0,2.222,0,2.222,0,0,4.444,0,0,0,2.222,0,2.222,0,0,4.444,0,0,0,0,0,2.222,2.222,0,0,4.444,0,2.222,0,0,0,0,0,8.889,0,0,4.444,2.222,2.222,31.111
sponge,IRC_PAM_SB0666_bin_34,0,0,0,0,0,0,0,0,6.667,0,0,0,0,0,6.667,0,13.333,0,6.667,6.667,0,0,0,0,6.667,0,0,6.667,20.0,0,0,0,0,0,0,6.667,0,0,0,0,0,0,0,0,0,0,6.667,0,0,13.333
sponge,RHO2_bin_6,0,4.545,0,0,0,0,0,4.545,4.545,0,0,0,4.545,13.636,0,0,4.545,4.545,0,4.545,0,0,4.545,0,0,0,0,0,4.545,4.545,0,4.545,0,0,4.545,9.091,0,0,0,0,0,0,0,0,0,0,9.091,0,0,13.636
sponge,IRC3_bin_5,0,2.703,0,2.703,0,0,2.703,2.703,2.703,2.703,0,0,2.703,8.108,0,2.703,2.703,0,2.703,0,2.703,0,0,0,0,2.703,0,5.405,5.405,2.703,0,0,0,2.703,0,2.703,2.703,0,2.703,2.703,0,2.703,0,0,2.703,0,10.811,0,2.703,13.514
sponge,RHO1_bin_68,0,2.857,0,0,2.857,0,0,2.857,2.857,5.714,0,0,0,5.714,0,0,2.857,0,0,0,2.857,0,2.857,0,2.857,11.429,2.857,0,0,2.857,0,0,0,0,5.714,5.714,0,0,0,0,0,0,2.857,0,14.286,2.857,0,0,0,17.143
sponge,RHO1_bin_40,0,0,2.5,0,15.0,0,15.0,2.5,2.5,10.0,0,0,0,2.5,2.5,0,2.5,0,2.5,0,2.5,0,2.5,0,0,0,2.5,2.5,2.5,2.5,0,0,0,0,2.5,5.0,0,2.5,0,0,0,0,0,12.5,0,0,2.5,0,0,2.5
sponge,IRC_PAM_SB0662_bin_49,0,2.5,0,0,12.5,0,2.5,2.5,2.5,2.5,0,2.5,0,2.5,0,0,5.0,0,0,0,2.5,0,2.5,0,0,5.0,0,0,0,0,0,2.5,2.5,0,0,5.0,0,2.5,0,0,0,0,0,10.0,0,0,2.5,2.5,2.5,25.0
sponge,RHO1_bin_55,0,0,0,0,0,0,0,5.263,5.263,0,0,0,0,0,0,0,5.263,0,5.263,5.263,5.263,0,0,0,5.263,0,0,5.263,15.789,0,0,0,0,5.263,0,5.263,0,0,0,0,0,0,5.263,0,0,0,10.526,0,0,15.789
sponge,IRC_PAM_SB0665_bin_2,0,5.882,0,0,5.882,0,0,5.882,5.882,0,0,0,0,5.882,0,0,5.882,0,5.882,5.882,5.882,0,0,0,0,0,11.765,0,0,0,0,5.882,0,0,5.882,5.882,0,5.882,0,0,0,0,0,0,0,0,11.765,0,0,0
sponge,IRC3_bin_4,0,0,0,0,8.333,0,0,4.167,4.167,4.167,0,0,0,4.167,4.167,0,4.167,0,0,8.333,4.167,0,0,0,4.167,0,4.167,0,8.333,4.167,4.167,4.167,4.167,0,0,0,4.167,4.167,0,0,0,4.167,0,0,0,0,4.167,4.167,0,0
sponge,RHO1_bin_69,0,0,0,0,0,0,0,5.556,5.556,5.556,0,0,0,0,0,0,5.556,0,5.556,5.556,5.556,0,0,0,5.556,0,0,5.556,16.667,0,0,0,0,5.556,0,5.556,0,0,0,0,0,0,5.556,0,0,0,5.556,0,0,11.111
sponge,RHO2_bin_7,0,3.333,3.333,0,3.333,0,3.333,3.333,3.333,3.333,0,0,3.333,3.333,0,3.333,6.667,0,0,0,3.333,0,0,0,3.333,3.333,0,0,0,0,0,3.333,3.333,0,0,6.667,0,3.333,0,0,0,0,0,3.333,0,0,6.667,3.333,0,20.0
sponge,RHO1_bin_82,0,3.03,0,0,0,0,0,3.03,3.03,6.061,0,3.03,0,21.212,0,3.03,3.03,0,3.03,0,3.03,0,0,0,0,0,0,3.03,0,3.03,3.03,0,0,3.03,6.061,3.03,3.03,0,3.03,3.03,0,0,0,0,3.03,0,0,0,3.03,12.121
sponge,IRC_PAM_SB0666_bin_21,0,0,0,0,10.714,0,7.143,0,3.571,10.714,0,0,7.143,3.571,0,0,3.571,0,3.571,0,3.571,0,3.571,0,0,0,0,3.571,0,3.571,0,0,0,0,0,10.714,0,3.571,0,0,0,0,0,7.143,0,0,0,0,0,14.286
sponge,IRC1_bin_13,0,0,0,0,0,0,0,7.692,7.692,0,0,0,0,0,0,0,7.692,0,0,7.692,7.692,0,0,0,7.692,0,0,7.692,15.385,0,0,7.692,0,7.692,0,7.692,0,0,0,0,0,0,0,0,0,0,0,0,0,7.692
sponge,COS4_bin_21,0,7.692,7.692,0,0,0,0,7.692,7.692,0,0,0,0,7.692,0,0,0,0,0,0,7.692,0,7.692,0,0,0,0,7.692,7.692,0,7.692,0,0,0,0,0,7.692,7.692,0,0,0,0,0,0,0,7.692,0,0,0,0
sponge,IRC_PAM_SB0668_bin_1,0,0,0,0,10.0,0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,5.0,0,0,0,5.0,0,5.0,0,5.0,0,5.0,5.0,0,5.0,5.0,5.0,5.0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,0,5.0
sponge,IRC_PAM_SB0665_bin_13,0,5.556,0,0,0,0,0,5.556,0,11.111,0,0,0,0,0,0,5.556,0,5.556,0,5.556,0,0,0,0,0,5.556,0,11.111,5.556,0,5.556,5.556,5.556,0,5.556,0,0,0,0,0,0,0,0,0,0,5.556,5.556,0,5.556
sponge,COS36386_bin_11,0,4.167,0,0,8.333,0,4.167,4.167,0,4.167,4.167,0,0,4.167,0,0,4.167,0,0,0,4.167,0,4.167,0,0,0,0,0,12.5,8.333,0,4.167,4.167,0,0,0,0,4.167,0,0,4.167,0,0,0,0,0,4.167,4.167,4.167,4.167
sponge,COS4_bin_3,0,0,0,0,7.407,0,0,3.704,3.704,3.704,0,0,0,3.704,3.704,0,3.704,0,0,7.407,3.704,0,0,0,3.704,0,7.407,0,7.407,3.704,3.704,3.704,3.704,0,0,0,3.704,3.704,0,0,0,3.704,3.704,0,0,0,3.704,3.704,0,3.704
sponge,RHO2_bin_67,0,0,0,0,3.448,0,3.448,3.448,3.448,17.241,0,0,0,0,3.448,0,0,0,3.448,0,3.448,0,3.448,0,0,0,0,3.448,3.448,3.448,0,0,0,0,3.448,3.448,0,3.448,0,0,0,0,0,10.345,0,0,6.897,0,0,17.241
sponge,COS1_bin_18,0,3.448,0,0,0,0,0,3.448,3.448,3.448,0,0,0,0,0,0,3.448,0,0,3.448,3.448,0,0,0,3.448,0,0,3.448,3.448,0,0,0,3.448,3.448,0,3.448,3.448,0,3.448,0,3.448,3.448,0,13.793,3.448,6.897,10.345,0,3.448,3.448
sponge,IRC4_bin_16,0,4.762,0,0,0,0,4.762,4.762,4.762,0,0,0,0,9.524,0,0,4.762,4.762,0,4.762,4.762,0,0,0,0,0,0,0,0,4.762,0,4.762,0,0,9.524,9.524,0,0,0,0,0,0,0,0,9.524,4.762,4.762,0,0,4.762
sponge,CAR3_bin_4,0,2.439,0,2.439,0,0,2.439,2.439,2.439,2.439,0,0,2.439,9.756,0,2.439,2.439,0,2.439,0,2.439,0,0,0,0,2.439,0,4.878,4.878,4.878,2.439,0,0,2.439,0,2.439,2.439,0,2.439,2.439,0,0,0,0,2.439,0,7.317,0,2.439,19.512
sponge,APA_bin_73,0,4.348,0,0,0,0,4.348,4.348,4.348,4.348,0,4.348,0,0,0,0,0,0,0,4.348,0,0,0,0,0,0,4.348,4.348,0,4.348,0,4.348,0,0,26.087,8.696,4.348,0,0,0,0,0,0,0,4.348,0,8.696,0,0,0
seawater,seawater_seasim_SB9153_S2_bin_4,0,4.348,0,0,0,0,0,4.348,4.348,0,0,0,0,4.348,0,0,4.348,4.348,4.348,4.348,4.348,0,0,0,4.348,0,0,4.348,8.696,4.348,0,0,4.348,0,0,0,8.696,0,0,0,4.348,4.348,4.348,0,4.348,4.348,0,0,0,4.348
sponge,CLI1_bin_3,0,3.704,0,0,0,0,3.704,3.704,3.704,0,0,0,0,7.407,0,0,3.704,0,0,0,3.704,0,0,0,3.704,0,0,7.407,7.407,7.407,3.704,0,3.704,3.704,0,3.704,3.704,0,3.704,0,0,0,0,0,0,0,0,3.704,3.704,14.815
sponge,APA_bin_98,0,2.941,0,0,2.941,2.941,2.941,2.941,2.941,2.941,0,0,2.941,5.882,0,0,2.941,2.941,0,0,2.941,0,2.941,0,2.941,2.941,0,0,2.941,2.941,0,0,0,0,20.588,5.882,0,0,0,0,0,0,0,0,0,2.941,5.882,2.941,0,8.824
sponge,IRC_PAM_SB0663_bin_5,0,7.692,0,0,7.692,0,0,7.692,7.692,0,0,0,0,7.692,0,0,7.692,0,0,0,7.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.692,0,15.385,0,0,0,0,0,0,0,0,15.385,0,0,7.692
sponge,COS2_bin_4,0,3.846,0,0,7.692,0,7.692,3.846,7.692,0,0,0,0,0,0,0,3.846,0,0,0,3.846,0,3.846,0,3.846,3.846,7.692,3.846,0,0,0,0,0,0,0,3.846,0,0,0,0,0,0,0,15.385,0,0,3.846,0,0,15.385
seawater,seawater_bettina_36308_bin_5,0,3.333,0,3.333,0,0,3.333,3.333,3.333,0,0,3.333,3.333,10.0,0,0,3.333,0,3.333,0,3.333,0,0,0,3.333,3.333,0,3.333,6.667,6.667,3.333,0,3.333,3.333,0,0,3.333,0,3.333,0,3.333,3.333,3.333,0,0,0,0,3.333,3.333,0
seawater,seawater_seasim_SB9155_S4_bin_4,0,4.167,0,0,0,0,0,0,4.167,0,0,0,0,0,4.167,8.333,4.167,0,4.167,0,8.333,0,0,0,4.167,0,0,0,8.333,8.333,4.167,0,4.167,4.167,0,4.167,0,0,4.167,4.167,0,4.167,0,0,0,0,4.167,4.167,4.167,0
sponge,RHO3_bin_37,0,2.857,2.857,0,14.286,0,14.286,2.857,2.857,5.714,0,0,0,2.857,0,0,2.857,0,2.857,0,2.857,0,2.857,0,0,0,5.714,0,0,0,0,2.857,0,0,0,5.714,0,2.857,0,0,0,0,2.857,0,0,2.857,14.286,0,0,2.857
sponge,RHO3_bin_23,0,5.0,0,0,10.0,0,10.0,5.0,0,0,0,0,0,0,0,0,5.0,0,0,0,5.0,0,5.0,0,5.0,5.0,10.0,5.0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,5.0
sponge,COS2_bin_16,0,2.941,0,0,0,0,2.941,2.941,2.941,2.941,0,0,0,2.941,0,0,2.941,0,2.941,0,2.941,0,2.941,0,0,0,2.941,0,5.882,2.941,0,0,0,0,14.706,5.882,0,0,0,0,0,0,0,0,0,0,0,0,2.941,35.294
sponge,RHO3_bin_35,0,2.941,0,0,0,0,2.941,2.941,2.941,0,0,0,0,5.882,0,2.941,2.941,0,0,0,2.941,0,0,0,2.941,2.941,0,0,5.882,2.941,0,2.941,0,0,5.882,5.882,0,0,0,0,0,0,0,0,0,2.941,29.412,0,0,11.765
sponge,RHO3_bin_21,0,4.167,0,0,4.167,4.167,0,4.167,8.333,4.167,0,0,0,8.333,0,0,4.167,4.167,0,0,4.167,0,4.167,0,4.167,0,0,0,4.167,4.167,0,0,0,0,12.5,8.333,0,0,0,0,0,0,0,0,0,0,0,4.167,0,8.333
sponge,CAR2_bin_15,0,0,0,0,0,0,0,5.0,5.0,0,0,0,0,0,0,0,5.0,0,5.0,0,5.0,0,0,0,0,5.0,0,5.0,10.0,5.0,0,0,5.0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,5.0,0,35.0
sponge,GCA_003635265,0,2.273,0,0,6.818,0,6.818,2.273,2.273,6.818,0,2.273,2.273,4.545,0,0,2.273,0,0,0,0,0,2.273,0,2.273,2.273,0,0,0,0,0,2.273,2.273,0,0,4.545,0,2.273,0,0,0,0,0,25.0,0,0,0,2.273,0,15.909
sponge,COS2_bin_6,0,2.703,0,0,0,0,0,2.703,2.703,2.703,0,0,0,2.703,0,0,5.405,0,0,0,2.703,0,0,0,2.703,13.514,0,0,2.703,2.703,0,2.703,0,0,18.919,5.405,0,0,0,0,0,0,0,0,2.703,2.703,10.811,0,0,13.514
sponge,APA_bin_71,0,2.703,0,2.703,0,0,5.405,2.703,2.703,2.703,0,0,0,5.405,0,2.703,2.703,0,2.703,0,2.703,0,0,0,0,0,0,5.405,2.703,5.405,2.703,0,0,2.703,0,0,2.703,0,2.703,2.703,0,0,0,0,0,0,2.703,0,2.703,32.432
sponge,CLI1_bin_1,0,5.556,0,0,0,0,0,5.556,5.556,0,0,0,0,0,0,0,5.556,0,5.556,0,5.556,0,0,0,0,0,5.556,5.556,0,0,0,5.556,0,0,5.556,5.556,0,5.556,0,0,0,0,0,0,0,0,5.556,0,5.556,22.222
sponge,IRC_PAM_SB0668_bin_12,0,0,0,0,0,0,0,7.143,7.143,0,0,0,0,0,0,0,7.143,0,0,7.143,7.143,0,0,0,7.143,0,0,7.143,14.286,0,0,7.143,0,7.143,0,7.143,0,0,0,0,0,0,0,0,0,0,7.143,0,0,7.143
sponge,APA_bin_59,0,2.857,0,0,5.714,0,2.857,2.857,2.857,2.857,0,2.857,0,2.857,0,0,2.857,0,0,2.857,2.857,0,2.857,0,2.857,2.857,2.857,2.857,0,2.857,0,2.857,0,0,28.571,5.714,2.857,0,0,0,0,0,0,0,2.857,0,0,0,0,5.714
sponge,CAR3_bin_6,0,0,0,0,2.941,0,0,2.941,2.941,0,0,0,0,2.941,2.941,0,2.941,0,0,2.941,2.941,0,2.941,0,2.941,0,2.941,2.941,2.941,2.941,0,2.941,2.941,0,0,2.941,0,0,0,0,0,0,0,0,0,0,14.706,2.941,0,32.353
sponge,IRC4_bin_14,0,2.326,0,0,16.279,0,2.326,2.326,2.326,2.326,0,2.326,0,4.651,0,0,4.651,0,0,0,2.326,0,2.326,0,0,4.651,0,0,0,0,0,2.326,2.326,0,0,4.651,0,2.326,0,0,0,0,0,6.977,0,0,2.326,2.326,2.326,25.581
sponge,petrosia_ficiformis_bin,0,3.571,0,0,10.714,0,7.143,3.571,3.571,3.571,0,7.143,3.571,3.571,0,0,7.143,0,0,0,3.571,0,0,0,0,3.571,0,0,0,0,0,3.571,3.571,0,0,3.571,0,3.571,0,0,0,0,0,14.286,0,3.571,3.571,3.571,0,0
sponge,COS4_bin_1,0,4.348,0,0,0,0,4.348,4.348,4.348,0,0,0,0,4.348,0,0,4.348,4.348,0,0,4.348,0,0,0,4.348,0,0,0,4.348,4.348,0,4.348,0,0,4.348,8.696,0,0,0,0,4.348,0,0,4.348,0,4.348,13.043,0,0,8.696
sponge,RHO2_bin_65,0,6.667,0,0,13.333,0,0,6.667,0,20.0,0,0,0,0,0,0,6.667,0,0,0,6.667,0,6.667,0,0,0,6.667,0,0,0,0,6.667,0,0,0,0,0,6.667,0,0,0,0,0,0,6.667,0,0,0,0,6.667
sponge,IRC_PAM_SB0661_bin_44,0,5.882,0,0,0,0,0,5.882,5.882,11.765,0,0,5.882,0,0,11.765,5.882,5.882,0,0,5.882,0,5.882,0,5.882,0,0,0,0,0,0,0,0,0,0,11.765,0,0,0,0,0,0,0,0,0,0,5.882,0,0,5.882
sponge,RHO2_bin_59,0,3.846,3.846,0,7.692,0,0,3.846,3.846,7.692,0,0,0,3.846,0,0,3.846,3.846,0,7.692,0,0,0,0,3.846,3.846,3.846,0,0,0,0,0,0,0,7.692,7.692,0,0,0,0,0,0,0,0,3.846,0,3.846,3.846,0,11.538
sponge,IRC_PAM_SB0665_bin_11,0,3.846,0,0,3.846,0,0,3.846,3.846,7.692,0,0,0,7.692,0,0,3.846,3.846,0,7.692,0,0,0,0,3.846,3.846,3.846,0,0,0,0,0,0,0,7.692,7.692,0,0,0,0,0,0,0,0,3.846,0,7.692,0,0,15.385
sponge,COS36386_bin_13,0,4.545,0,0,9.091,0,13.636,4.545,0,0,0,0,0,0,0,0,4.545,0,0,0,4.545,0,4.545,0,4.545,4.545,9.091,0,0,0,0,0,0,0,0,4.545,0,0,0,0,0,0,0,18.182,0,0,4.545,0,0,9.091
sponge,IRC_PAM_SB0677_bin_7,0,4.167,0,0,0,0,4.167,4.167,4.167,0,0,0,0,8.333,0,0,4.167,0,0,0,4.167,0,0,0,0,0,0,4.167,4.167,0,4.167,0,0,4.167,0,4.167,4.167,0,4.167,4.167,0,0,0,8.333,4.167,4.167,8.333,0,4.167,4.167
sponge,COS4_bin_23,0,4.762,0,0,14.286,0,14.286,2.381,4.762,7.143,0,0,0,16.667,0,0,2.381,0,0,0,2.381,0,0,0,2.381,2.381,0,0,2.381,0,0,2.381,0,0,7.143,4.762,0,0,0,0,0,0,4.762,0,0,0,2.381,0,2.381,0
sponge,IRC1_bin_11,0,2.273,0,0,13.636,0,2.273,2.273,2.273,2.273,0,2.273,0,2.273,0,0,6.818,0,0,0,2.273,0,2.273,0,0,4.545,0,0,0,0,0,2.273,2.273,0,0,4.545,0,2.273,0,0,0,0,0,11.364,0,0,2.273,2.273,0,27.273
sponge,GCA_003635305,0,1.613,0,0,9.677,0,3.226,1.613,0,1.613,0,1.613,0,1.613,0,0,1.613,0,0,0,1.613,0,1.613,0,0,3.226,0,0,0,0,0,1.613,3.226,0,0,3.226,0,1.613,0,0,0,0,0,6.452,0,0,1.613,1.613,1.613,50.0
sponge,IRC3_bin_6,0,7.143,0,0,7.143,0,7.143,7.143,7.143,0,0,7.143,0,0,0,0,7.143,0,0,0,7.143,0,7.143,0,0,7.143,7.143,7.143,0,0,0,0,0,0,0,7.143,0,0,0,0,0,0,0,0,0,0,0,0,0,7.143
sponge,RHO2_bin_5,0,3.226,0,0,16.129,0,6.452,3.226,3.226,0,0,3.226,3.226,0,0,0,6.452,0,0,0,3.226,0,0,0,0,3.226,3.226,0,0,0,0,3.226,3.226,0,0,6.452,0,3.226,0,0,0,0,0,16.129,0,3.226,3.226,3.226,0,3.226
sponge,RHO1_bin_43,0,3.333,3.333,0,3.333,0,3.333,3.333,3.333,0,0,0,0,3.333,0,0,3.333,0,0,3.333,3.333,0,0,0,3.333,0,0,0,6.667,0,3.333,0,3.333,3.333,10.0,3.333,3.333,0,3.333,3.333,0,3.333,0,0,0,3.333,10.0,3.333,3.333,0
sponge,IRC_PAM_SB0665_bin_1,0,4.762,0,0,4.762,0,4.762,4.762,4.762,0,0,4.762,0,0,0,0,4.762,0,0,0,9.524,0,4.762,0,0,4.762,4.762,4.762,0,0,0,0,0,0,0,23.81,0,0,0,0,0,0,0,0,0,0,9.524,0,0,4.762
sponge,RHO1_bin_42,0,3.333,3.333,0,13.333,0,10.0,3.333,0,6.667,0,6.667,0,6.667,0,0,3.333,0,0,0,3.333,0,3.333,0,0,0,3.333,0,0,0,0,3.333,0,0,0,6.667,0,3.333,0,0,3.333,0,0,3.333,0,3.333,10.0,0,0,0
sponge,RHO1_bin_56,0,0,0,0,0,0,0,9.091,4.545,0,0,0,0,0,4.545,0,4.545,0,4.545,4.545,4.545,0,0,0,4.545,0,0,4.545,13.636,0,0,0,0,4.545,0,4.545,0,0,0,0,0,0,4.545,0,0,0,18.182,0,0,9.091
sponge,IRC3_bin_7,0,2.703,0,0,0,0,0,2.703,2.703,2.703,0,0,0,10.811,0,2.703,2.703,0,5.405,0,2.703,0,0,0,2.703,0,2.703,2.703,8.108,5.405,2.703,0,0,2.703,0,2.703,2.703,0,2.703,2.703,0,2.703,5.405,0,5.405,2.703,5.405,0,2.703,2.703
sponge,GCA_001542995,0,5.0,0,0,0,0,0,5.0,0,5.0,0,0,0,5.0,0,0,5.0,5.0,0,0,5.0,0,0,0,5.0,0,5.0,0,0,5.0,0,5.0,0,0,0,15.0,0,5.0,0,0,5.0,0,0,0,0,5.0,10.0,0,0,5.0
